Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm Emin_mm Emin_S_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-02/12:00:00 0.0486517046688224 0.0489707786368478 -0.0489901071939655 -0.043540014936491 -0.0598856157189304 -0.0396581945859306 -0.033152741551317 0.00706451346303151 0.00029848998768269 8.12801177165674e-05 4.5 57.731530024343 99.6579641816303 99.9510292213631 99.7751901975235 99.7751901975235 24.5728505998647 70.7847864442119 88.4840260134844 0.000437926405101371 0.0630002728274614 0.0180730179773803 0.590398966965303 -0.571141776686231 0.345872381957795 377.19934000561 0.4 96.9151450464466 0 
1990-01-02/13:00:00 0.0487506361762635 0.0491167494424563 -0.0514716074915608 -0.0452336728246767 -0.0639417913579539 -0.0418299207566281 -0.0332060639705634 0.00693793031087058 0.000296338405397551 8.44466683822827e-05 4.5 57.707967092988 99.6348095534976 99.9508832505575 99.7612390323216 99.7612390323216 24.571196152784 70.7817256459853 88.4815354561806 0.000451862964291766 0.060248434162922 0.0187771154702915 0.55319651938133 -0.0475843410508965 0.324078137928765 353.431109604739 0.4 96.9151449122011 0 
1990-01-02/14:00:00 0.0487506361762635 0.0491167494424563 -0.0506127801234652 -0.0447627242106011 -0.0623071452346277 -0.0432396764545594 -0.0332607429502579 0.00560963579667999 0.000256850498411287 8.40429189729432e-05 4.5 57.7109708818199 99.644140724486 99.9508832505575 99.7668377349146 99.7668377349146 24.569545535248 70.7786770448061 88.4790505852132 0.000456241318008413 0.0482464586469652 0.0186873398826282 0.444124461952308 -0.113364780188669 0.260180647555564 283.746184025085 0.4 96.9151449290679 0 
1990-01-02/15:00:00 0.0487506361762635 0.0491167494424563 -0.0469768370907479 -0.0424643823216693 -0.055997313885409 -0.0434742757099359 -0.0333081516243346 0.00343668632038969 0.000191276589975396 8.0233820980213e-05 4.5 57.7393180599381 99.6801619558077 99.9508832505575 99.7884504737077 99.7884504737077 24.5681124053399 70.7761434134352 88.4769789907324 0.000449460741214499 0.0286758234205831 0.0178403689574595 0.270615875141926 -0.748105368537455 0.158534419211529 172.893475785119 0.4 96.9151450918219 0 
1990-01-02/16:00:00 0.0487506361762635 0.0491167494424563 -0.0417744148396301 -0.0391101382983485 -0.0471003507085848 -0.0424890763391335 -0.0333421259919767 0.0006241020583401 6.94466202329776e-05 7.45032208760899e-05 4.5 57.7819939501226 99.7309588222669 99.9508832505575 99.8189285935832 99.8189285935832 24.5670408108703 70.7744613243901 88.4755942367832 0.000433970682933966 0.00452747132919495 0.0165661429645279 0.0444950824048151 -1.75517364693407 0.0260664753799717 28.4274137586319 0.4 96.9151453500445 0 
1990-01-02/17:00:00 0.0487506361762635 0.0491167494424563 -0.0355119534696074 -0.0350271051513772 -0.0364811738218783 -0.0404001882356343 -0.0333585698380161 7.34516858643483e-05 0 7.34516858643483e-05 4.5 57.7898285313948 99.7915983238166 99.9508832505575 99.855312294513 99.855312294513 24.5666113968234 70.7738690303439 88.4750906388178 0.000233456564576251 0 0.0163323291893397 0 -1.94737117578401 0 0 0.4 96.915145399326 0 
1990-01-02/18:00:00 0.0487506361762635 0.0491167494424563 -0.0339793755506504 -0.0339720354307626 -0.0339940485796281 -0.0385585605855387 -0.0333608158874018 7.34690629341498e-05 0 7.34690629341498e-05 4.5 57.7896990520316 99.8058022740258 99.9508832505575 99.8638346646385 99.8638346646385 24.5665665113139 70.7736521051894 88.4748906205871 0 0 0.0163361930628643 0 -1.94417529352915 0 0 0.4 96.9151453985065 0 
1990-01-02/19:00:00 0.0487506361762635 0.0491167494424563 -0.0338214105677732 -0.0338181121580676 -0.0338280041468629 -0.0372664386065386 -0.0333630140759765 7.34864436427016e-05 0 7.34864436427016e-05 4.5 57.7895695458757 99.8067505729472 99.9508832505575 99.8644036439913 99.8644036439913 24.5665510270219 70.7735085944258 88.4747499043144 0 0 0.0163400577454821 0 -1.94097941127429 0 0 0.4 96.915145397687 0 
1990-01-02/20:00:00 0.0487506361762635 0.0491167494424563 -0.0337181386924014 -0.0337158933855702 -0.0337226271002986 -0.0363819741395191 -0.033364643087435 7.35038279906618e-05 0 7.35038279906618e-05 4.5 57.7894400129225 99.807352394763 99.9508832505575 99.8647647370808 99.8647647370808 24.5665484379962 70.7733975706741 88.4746354036785 0 0 0.0163439232373396 0 -1.93778352901944 0 0 0.4 96.9151453968676 0 
1990-01-02/21:00:00 0.0487506361762635 0.0491167494424563 -0.0336476070949773 -0.0336460735818021 -0.0336506726148209 -0.0357767270122008 -0.0333658863989953 7.35212159786862e-05 0 7.35212159786862e-05 4.5 57.7893104531673 99.8077633366475 99.9508832505575 99.8650113022115 99.8650113022115 24.5665545795322 70.7733087169296 88.4745387999228 0 0 0.0163477895385826 0 -1.93458764676458 0 0 0.4 96.9151453960481 0 
1990-01-02/22:00:00 0.0487506361762635 0.0491167494424563 -0.0335994625651428 -0.0335984162588047 -0.0336015541499389 -0.0353626146095172 -0.0333668659037221 7.35386076074309e-05 0 7.35386076074309e-05 4.5 57.7891808666053 99.8080438591809 99.9508832505575 99.8651796157316 99.8651796157316 24.5665666389175 70.7732350646244 88.4744544745097 0 0 0.0163516566493569 0 -1.93139176450972 0 0 0.4 96.9151453952287 0 
1990-01-02/23:00:00 0.0487506361762635 0.0491167494424563 -0.0335666429857784 -0.0335659301995014 -0.0335680678580989 -0.0350793422452798 -0.0333676650180212 7.35560028775549e-05 0 7.35560028775549e-05 4.5 57.789051253232 99.8082351042822 99.9508832505575 99.8652943627923 99.8652943627923 24.5665826912453 70.7731718438304 88.47437858161 0 0 0.0163555245698091 0 -1.92819588225486 0 0 0.4 96.9151453944092 0 
1990-01-03/00:00:00 0.0487506361762635 0.0491167494424563 -0.0335447862857373 -0.0335443129141542 -0.0335457325638683 -0.0348899977325012 -0.0333683417447852 7.44936108869109e-05 0 7.44936108869109e-05 4.5 57.788921704886 99.8083626644665 99.9508832505575 99.865370898903 99.865370898903 24.5666013884574 70.7731157130098 88.4743084267527 0 0 0.016359390559283 0 -1.925 0 0 1.5 96.9151459104167 0 
1990-01-03/01:00:00 0.0487506361762635 0.0491167494424563 -0.0335299906357814 -0.0335296701374041 -0.0335306313176818 -0.0347605540408443 -0.033368936118164 7.45112507168309e-05 0 7.45112507168309e-05 4.5 57.7887918935506 99.8084489099541 99.9508832505575 99.8654226461955 99.8654226461955 24.5666218167792 70.7730644061642 88.4742421827071 0 0 0.0163632644064979 0 -1.92180056266973 0 0 1.5 96.9151459090836 0 
1990-01-03/02:00:00 0.0487506361762635 0.0491167494424563 -0.0335200029838236 -0.0335197871238492 -0.033520434491714 -0.0346721559417677 -0.0333694743247666 7.45288942438867e-05 0 7.45288942438867e-05 4.5 57.7886620553299 99.8085071455724 99.9508832505575 99.8654575875665 99.8654575875665 24.566643372854 70.773016426189 88.4741786424358 0 0 0.0163671390656333 0 -1.91860112533946 0 0 1.5 96.9151459077505 0 
1990-01-03/03:00:00 0.0487506361762635 0.0491167494424563 -0.0335133068308793 -0.0335131626067807 -0.0335135951373925 -0.0346118561223794 -0.0333699742747571 7.45465414687471e-05 0 7.45465414687471e-05 4.5 57.7885321902193 99.8085462061668 99.9508832505575 99.8654810239231 99.8654810239231 24.5666656440536 70.7729707483291 88.4741169797452 0 0 0.016371014536836 0 -1.91540168800919 0 0 1.5 96.9151459064174 0 
1990-01-03/04:00:00 0.0487506361762635 0.0491167494424563 -0.0335088640961247 -0.0335087689159005 -0.0335090543630692 -0.0345707914374602 -0.0333704482278352 7.45641923920789e-05 0 7.45641923920789e-05 4.5 57.788402298214 99.8085721392231 99.9508832505575 99.8654965837569 99.8654965837569 24.5666883482046 70.7729266709107 88.4740566289334 0 0 0.0163748908202525 0 -1.91220225067892 0 0 1.5 96.9151459050843 0 
1990-01-03/05:00:00 0.0487506361762635 0.0491167494424563 -0.0335059641539145 -0.0335059025520202 -0.0335060872971862 -0.0345428945598041 -0.0333709045757341 7.45818470145514e-05 0 7.45818470145514e-05 4.5 57.7882723793093 99.808589084591 99.9508832505575 99.8655067509776 99.8655067509776 24.5667112924348 70.7728837134276 88.473997202619 0 0 0.0163787679160298 0 -1.90900281334865 0 0 1.5 96.9151459037512 0 
1990-01-03/06:00:00 0.0487506361762635 0.0491167494424563 -0.0335041205389075 -0.0335040819282495 -0.0335041977222927 -0.0345240120493803 -0.033371349062374 7.45995053368319e-05 0 7.45995053368319e-05 4.5 57.7881424335005 99.8085998762432 99.9508832505575 99.8655132259689 99.8655132259689 24.5667343450028 70.7728415467763 88.4739384354922 0 0 0.0163826458243144 0 -1.90580337601838 0 0 1.5 96.9151459024181 0 
1990-01-03/07:00:00 0.0487506361762635 0.0491167494424563 -0.0335030002360368 -0.0335029773690998 -0.0335030459474465 -0.0345113006292831 -0.0333717856191095 7.46171673595888e-05 0 7.46171673595888e-05 4.5 57.7880124607828 99.8086064542062 99.9508832505575 99.8655171727467 99.8655171727467 24.5667574160129 70.7727999454984 88.4738801458087 0 0 0.0163865245452531 0 -1.9026039386881 0 0 1.5 96.915145901085 0 
1990-01-03/08:00:00 0.0487506361762635 0.0491167494424563 -0.0335028677747731 -0.0335028692096608 -0.0335028649064072 -0.0345030003170869 -0.033372791562932 0.000441578757339208 5.9185984115923e-05 7.4667881492003e-05 4.5 57.787639263328 99.8086074881594 99.9508832505575 99.8655177931186 99.8655177931186 24.5667705524013 70.7727586799976 88.4738221481778 1.00568074448119e-05 0.000195036552344698 0.016397661772851 0.0148540810855348 -1.89342090718792 0.00112929718197797 9.49010736020281 1.5 96.9151458972587 0 
1990-01-03/09:00:00 0.0487506361762635 0.0491167494424563 -0.0344159476158126 -0.0340955510126495 -0.0350564260854772 -0.0346820168517057 -0.0333784820918519 7.60662800315523e-05 0 7.60662800315523e-05 4.5 57.7773497126924 99.7997349745973 99.9508832505575 99.8601942849814 99.8601942849814 24.56667130922 70.7725833156166 88.4736554786171 6.94127587408349e-05 0.00115111789926789 0.0167047612353908 0.0867721379306468 -1.64235647982248 0.00659694330972173 55.4377547890243 1.5 96.9151457926485 0 
